Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Course Level,Assessment Score,Time per Day,IQ,Memory Power,Concentration,student_level,num_examples,break_interval,num_test_questions,course_duration,course_name,material_name,material_level
Elizabeth,10,M,USA,New York,Buffalo,Laborer,Upper Middle,1,42,3,87,2,2,1,7,30,15,25,Basic_Python,Python_material,1
David,9,M,UK,Scotland,Edinburgh,Teacher,High,2,62,6,105,4,4,2,7,30,15,20,Intermediate_Python,Python_material,1
Teresa,12,F,Canada,Quebec,Montreal,Businessperson,Low,1,45,5,92,6,7,1,7,40,15,25,Basic_Python,Python_material,1
Robert,12,M,Canada,Ontario,Toronto,Laborer,Lower Middle,1,37,5,94,7,7,1,5,40,15,25,Basic_Python,Python_material,1
Christopher,16,M,UK,Scotland,Glasgow,Laborer,High,1,35,2,86,4,5,1,7,30,15,25,Basic_Python,Python_material,1
James,10,F,India,Delhi,New Delhi,Teacher,Lower Middle,2,57,5,110,8,8,2,5,40,15,20,Intermediate_Python,Python_material,1
Christina,14,F,UK,England,Manchester,IT Professional,Low,1,37,5,86,4,5,1,7,30,15,25,Basic_Python,Python_material,1
Joshua,10,F,Canada,Ontario,Ottawa,IT Professional,Low,1,38,1,97,7,7,1,5,40,15,25,Basic_Python,Python_material,1
Jennifer,14,F,USA,Texas,Houston,Businessperson,Low,2,62,6,105,5,6,2,7,30,15,20,Intermediate_Python,Python_material,1
Jonathan,10,F,UK,Scotland,Glasgow,Clerk,Lower Middle,3,86,2,120,6,5,3,5,30,10,15,Learn_Good_Python,Python_material,1
John,15,M,UK,Scotland,Edinburgh,Businessperson,Upper Middle,2,71,3,119,8,9,2,5,50,12,20,Intermediate_Python,Python_material,1
Sydney,14,M,India,Maharashtra,Mumbai,Farmer,Lower Middle,1,39,1,97,4,5,1,7,30,15,25,Basic_Python,Python_material,1
Kevin,14,M,India,Delhi,New Delhi,Clerk,Lower Middle,2,53,4,95,7,7,2,5,40,15,20,Intermediate_Python,Python_material,1
Vincent,14,F,UK,Scotland,Edinburgh,Farmer,Upper Middle,3,92,4,140,10,9,3,3,50,10,15,Learn_Good_Python,Python_material,1
Brian,11,M,USA,California,Los Angeles,IT Professional,Upper Middle,1,46,6,93,4,3,1,7,30,15,25,Basic_Python,Python_material,1
Rodney,14,M,UK,England,Manchester,IT Professional,Upper Middle,1,40,2,85,4,4,1,7,30,15,25,Basic_Python,Python_material,1
Steven,10,F,UK,England,Manchester,Engineer,High,2,56,4,109,7,8,2,5,40,15,20,Intermediate_Python,Python_material,1
Felicia,12,F,Canada,Quebec,Quebec City,Clerk,Upper Middle,3,85,7,119,9,8,3,3,40,12,15,Learn_Good_Python,Python_material,1
Joshua,11,M,India,Delhi,New Delhi,Businessperson,Low,2,58,7,99,4,3,2,7,30,15,20,Intermediate_Python,Python_material,1
Christine,15,F,USA,New York,New York City,Engineer,Low,2,63,8,105,7,7,2,5,40,15,20,Intermediate_Python,Python_material,1
Erik,12,M,UK,England,Manchester,Teacher,Low,2,59,4,101,4,5,2,7,30,15,20,Intermediate_Python,Python_material,1
Stephen,14,M,UK,England,Manchester,Clerk,Lower Middle,2,54,2,102,4,4,2,7,30,15,20,Intermediate_Python,Python_material,1
Nancy,8,M,Canada,Ontario,Toronto,Laborer,Upper Middle,1,48,5,90,7,8,1,5,40,15,25,Basic_Python,Python_material,1
Leslie,18,F,Canada,Quebec,Quebec City,IT Professional,Upper Middle,1,50,1,106,5,4,1,7,30,15,25,Basic_Python,Python_material,1
Austin,11,M,India,Maharashtra,Pune,IT Professional,Upper Middle,2,65,7,114,9,10,2,3,50,12,20,Intermediate_Python,Python_material,1
Andres,18,M,Canada,Ontario,Ottawa,Doctor,Lower Middle,2,62,8,111,6,5,2,5,30,12,20,Intermediate_Python,Python_material,1
Robert,10,F,India,Tamil Nadu,Chennai,Businessperson,Lower Middle,3,82,7,125,8,9,3,5,50,12,15,Learn_Good_Python,Python_material,1
Kimberly,14,M,Canada,Quebec,Quebec City,Businessperson,Lower Middle,1,43,1,95,4,4,1,7,30,15,25,Basic_Python,Python_material,1
Alicia,15,F,UK,England,London,Farmer,High,1,50,3,97,5,5,1,7,30,15,25,Basic_Python,Python_material,1
Andrea,14,M,Canada,Ontario,Ottawa,Laborer,Low,3,87,3,123,7,8,3,5,40,10,15,Learn_Good_Python,Python_material,1
Cynthia,16,F,India,Maharashtra,Mumbai,Laborer,High,1,47,4,98,5,6,1,7,30,15,25,Basic_Python,Python_material,1
William,9,M,USA,California,Los Angeles,Doctor,High,1,45,1,105,6,6,1,7,30,15,25,Basic_Python,Python_material,1
Gregory,12,M,UK,England,Manchester,Businessperson,High,1,39,2,89,2,2,1,7,30,15,25,Basic_Python,Python_material,1
Jamie,11,F,Canada,Quebec,Quebec City,Teacher,Upper Middle,3,79,3,119,8,8,3,5,40,12,15,Learn_Good_Python,Python_material,1
Angela,8,M,Canada,Ontario,Toronto,Businessperson,Lower Middle,3,88,6,119,9,8,3,3,40,10,15,Learn_Good_Python,Python_material,1
Linda,17,M,UK,England,Manchester,Laborer,High,2,53,5,110,9,8,2,3,40,15,20,Intermediate_Python,Python_material,1
Jason,11,M,India,Tamil Nadu,Coimbatore,Clerk,Low,3,79,2,129,7,7,3,3,40,10,15,Learn_Good_Python,Python_material,1
Bryan,13,F,USA,Texas,Dallas,Clerk,Low,1,33,5,91,4,5,1,7,30,15,25,Basic_Python,Python_material,1
Jean,10,F,UK,England,Manchester,Businessperson,Upper Middle,1,45,4,92,4,3,1,7,30,15,25,Basic_Python,Python_material,1
Amy,10,F,India,Delhi,New Delhi,Farmer,Lower Middle,1,37,5,92,5,6,1,7,30,15,25,Basic_Python,Python_material,1
Deborah,12,F,UK,Scotland,Glasgow,Farmer,Lower Middle,2,73,6,123,9,10,2,3,50,12,20,Intermediate_Python,Python_material,1
James,8,M,UK,England,London,Doctor,Lower Middle,2,67,7,107,4,5,2,7,30,12,20,Intermediate_Python,Python_material,1
Emily,12,M,Canada,Quebec,Quebec City,IT Professional,High,1,43,6,87,3,4,1,7,30,15,25,Basic_Python,Python_material,1
Erin,18,F,USA,Texas,Houston,Engineer,Lower Middle,2,53,6,94,6,7,2,7,40,15,20,Intermediate_Python,Python_material,1
Kristin,9,F,India,Maharashtra,Mumbai,IT Professional,Low,3,100,6,139,9,8,3,3,40,10,15,Learn_Good_Python,Python_material,1
Joyce,15,F,Canada,Quebec,Quebec City,Farmer,Low,2,75,2,124,9,9,2,3,50,12,20,Intermediate_Python,Python_material,1
Dennis,18,M,USA,New York,New York City,Laborer,Lower Middle,2,56,3,100,4,4,2,7,30,15,20,Intermediate_Python,Python_material,1
Ethan,11,M,UK,England,Manchester,Laborer,Low,3,82,3,125,9,10,3,3,50,12,15,Learn_Good_Python,Python_material,1
Vanessa,8,M,Canada,Quebec,Quebec City,Laborer,Low,2,60,4,101,6,6,2,7,30,15,20,Intermediate_Python,Python_material,1
Joe,11,F,India,Maharashtra,Mumbai,Doctor,Low,3,84,2,123,8,9,3,5,50,12,15,Learn_Good_Python,Python_material,1
Danielle,13,F,India,Delhi,New Delhi,Clerk,Lower Middle,1,37,5,88,4,5,1,7,30,15,25,Basic_Python,Python_material,1
Michael,17,F,USA,California,Los Angeles,Farmer,High,3,89,3,136,9,8,3,3,40,10,15,Learn_Good_Python,Python_material,1
Austin,8,F,UK,England,Manchester,Businessperson,High,1,45,5,93,4,4,1,7,30,15,25,Basic_Python,Python_material,1
Anthony,8,M,UK,England,Manchester,Farmer,High,1,44,6,86,2,1,1,7,30,15,25,Basic_Python,Python_material,1
Evelyn,9,M,USA,New York,New York City,IT Professional,Lower Middle,2,70,6,113,7,8,2,5,40,12,20,Intermediate_Python,Python_material,1
George,8,M,USA,California,San Francisco,Clerk,High,1,38,5,89,5,5,1,7,30,15,25,Basic_Python,Python_material,1
Samuel,9,F,India,Delhi,New Delhi,Engineer,Upper Middle,3,77,8,121,9,8,3,3,40,12,15,Learn_Good_Python,Python_material,1
Cameron,18,M,USA,Texas,Houston,Doctor,Upper Middle,2,62,5,106,6,6,2,7,30,15,20,Intermediate_Python,Python_material,1
Marc,8,M,India,Delhi,New Delhi,Teacher,Upper Middle,2,69,5,115,7,8,2,5,40,12,20,Intermediate_Python,Python_material,1
Joseph,9,F,Canada,Quebec,Montreal,Teacher,Upper Middle,1,29,2,85,5,6,1,7,30,15,25,Basic_Python,Python_material,1
Kimberly,17,M,Canada,Quebec,Montreal,Teacher,Upper Middle,2,55,6,97,6,7,2,7,40,15,20,Intermediate_Python,Python_material,1
Trevor,15,M,India,Maharashtra,Pune,IT Professional,Low,2,57,8,97,6,7,2,7,40,15,20,Intermediate_Python,Python_material,1
Jason,13,F,Canada,Ontario,Toronto,Farmer,Lower Middle,2,61,2,105,5,6,2,7,30,15,20,Intermediate_Python,Python_material,1
Christina,18,F,Canada,Quebec,Montreal,Farmer,Lower Middle,2,63,2,108,6,5,2,7,30,15,20,Intermediate_Python,Python_material,1
Joseph,15,M,USA,New York,Buffalo,Engineer,Lower Middle,2,52,5,107,5,6,2,7,30,15,20,Intermediate_Python,Python_material,1
Melissa,15,M,UK,Scotland,Glasgow,Teacher,Lower Middle,1,49,4,102,6,7,1,7,40,15,25,Basic_Python,Python_material,1
Ian,8,F,UK,Scotland,Glasgow,Teacher,Lower Middle,2,55,2,106,7,8,2,5,40,15,20,Intermediate_Python,Python_material,1
Tyler,17,M,USA,New York,New York City,Teacher,Low,1,45,1,104,6,7,1,7,40,15,25,Basic_Python,Python_material,1
Stephanie,8,F,UK,England,London,Laborer,Upper Middle,2,66,7,107,7,7,2,5,40,12,20,Intermediate_Python,Python_material,1
Alexis,17,M,USA,New York,New York City,Clerk,Lower Middle,2,60,8,105,5,4,2,7,30,15,20,Intermediate_Python,Python_material,1
Corey,15,F,India,Tamil Nadu,Chennai,Laborer,Upper Middle,2,55,2,109,4,3,2,7,30,15,20,Intermediate_Python,Python_material,1
Erin,8,F,Canada,Ontario,Ottawa,IT Professional,Lower Middle,3,77,4,118,6,7,3,5,40,12,15,Learn_Good_Python,Python_material,1
Jessica,8,F,UK,Scotland,Edinburgh,Teacher,Lower Middle,3,85,2,117,8,9,3,5,50,12,15,Learn_Good_Python,Python_material,1
Eric,15,F,India,Maharashtra,Pune,IT Professional,Low,2,70,2,116,8,9,2,5,50,12,20,Intermediate_Python,Python_material,1
Michelle,14,M,India,Tamil Nadu,Chennai,Clerk,Upper Middle,2,60,7,100,5,6,2,7,30,15,20,Intermediate_Python,Python_material,1
Wesley,10,M,India,Tamil Nadu,Coimbatore,Clerk,Lower Middle,1,49,2,91,6,7,1,7,40,15,25,Basic_Python,Python_material,1
Andrea,11,M,Canada,Quebec,Montreal,Doctor,Upper Middle,2,71,4,119,8,7,2,5,40,12,20,Intermediate_Python,Python_material,1
Dana,8,M,USA,California,San Francisco,Farmer,High,1,38,2,90,5,5,1,7,30,15,25,Basic_Python,Python_material,1
Brian,16,M,UK,Scotland,Edinburgh,Laborer,Upper Middle,1,44,4,86,5,6,1,7,30,15,25,Basic_Python,Python_material,1
Margaret,14,F,Canada,Quebec,Quebec City,Doctor,High,2,72,3,119,8,7,2,5,40,12,20,Intermediate_Python,Python_material,1
Nicholas,12,F,USA,Texas,Houston,Teacher,Low,2,55,4,99,6,5,2,7,30,15,20,Intermediate_Python,Python_material,1
Bianca,18,F,India,Delhi,New Delhi,Farmer,Low,3,87,6,121,8,7,3,5,40,10,15,Learn_Good_Python,Python_material,1
Sarah,17,F,USA,Texas,Houston,Farmer,Upper Middle,2,70,4,119,9,8,2,3,40,12,20,Intermediate_Python,Python_material,1
Angel,16,F,India,Maharashtra,Pune,Teacher,Low,1,35,5,90,5,6,1,7,30,15,25,Basic_Python,Python_material,1
Hector,16,F,USA,California,Los Angeles,Engineer,Lower Middle,2,60,7,100,6,7,2,7,40,15,20,Intermediate_Python,Python_material,1
Collin,15,F,Canada,Ontario,Toronto,Farmer,Lower Middle,2,59,7,106,5,5,2,7,30,15,20,Intermediate_Python,Python_material,1
Jose,18,F,India,Tamil Nadu,Chennai,Laborer,Upper Middle,1,29,2,89,4,5,1,7,30,15,25,Basic_Python,Python_material,1
Monica,15,F,UK,Scotland,Edinburgh,Businessperson,Low,3,90,4,133,9,9,3,3,50,10,15,Learn_Good_Python,Python_material,1
Deborah,17,F,India,Delhi,New Delhi,Engineer,Low,3,84,2,122,6,7,3,5,40,12,15,Learn_Good_Python,Python_material,1
Connie,9,F,India,Delhi,New Delhi,IT Professional,Lower Middle,2,75,3,125,6,5,2,5,30,12,20,Intermediate_Python,Python_material,1
Sarah,15,M,USA,New York,New York City,IT Professional,Lower Middle,1,47,3,88,2,3,1,7,30,15,25,Basic_Python,Python_material,1
Michelle,14,M,India,Maharashtra,Pune,IT Professional,Low,2,52,8,104,4,4,2,7,30,15,20,Intermediate_Python,Python_material,1
Mary,13,F,Canada,Quebec,Quebec City,IT Professional,Upper Middle,2,53,2,95,7,8,2,5,40,15,20,Intermediate_Python,Python_material,1
Erik,10,M,Canada,Quebec,Quebec City,Teacher,Lower Middle,3,86,4,131,10,9,3,3,50,10,15,Learn_Good_Python,Python_material,1
David,16,M,India,Maharashtra,Pune,Farmer,High,1,44,6,91,7,8,1,5,40,15,25,Basic_Python,Python_material,1
Barbara,8,M,USA,California,San Francisco,Clerk,Lower Middle,3,92,4,122,8,9,3,5,50,10,15,Learn_Good_Python,Python_material,1
Michele,12,F,India,Tamil Nadu,Chennai,Teacher,Lower Middle,2,53,4,95,4,5,2,7,30,15,20,Intermediate_Python,Python_material,1
Emily,12,F,Canada,Quebec,Quebec City,IT Professional,Low,3,86,3,117,8,8,3,5,40,10,15,Learn_Good_Python,Python_material,1
Amy,8,M,UK,Scotland,Edinburgh,Businessperson,Lower Middle,3,81,2,115,8,7,3,5,40,12,15,Learn_Good_Python,Python_material,1
Monica,8,F,USA,New York,Buffalo,Teacher,Upper Middle,2,65,3,105,7,6,2,5,30,15,20,Intermediate_Python,Python_material,1
Darryl,8,M,USA,California,San Francisco,IT Professional,High,3,90,5,121,7,7,3,5,40,10,15,Learn_Good_Python,Python_material,1
Matthew,18,F,India,Delhi,New Delhi,Businessperson,High,2,63,8,106,5,5,2,7,30,15,20,Intermediate_Python,Python_material,1
Stacy,17,F,India,Maharashtra,Mumbai,Clerk,High,1,32,1,85,5,5,1,7,30,15,25,Basic_Python,Python_material,1
Emily,10,F,UK,England,London,IT Professional,High,2,52,2,94,6,5,2,7,30,15,20,Intermediate_Python,Python_material,1
Jared,17,M,Canada,Ontario,Toronto,Laborer,Lower Middle,1,44,4,98,4,4,1,7,30,15,25,Basic_Python,Python_material,1
Andrew,18,F,UK,Scotland,Edinburgh,Clerk,Upper Middle,1,31,5,88,3,3,1,7,30,15,25,Basic_Python,Python_material,1
Zachary,8,M,Canada,Quebec,Montreal,Clerk,Upper Middle,3,80,6,121,9,8,3,3,40,12,15,Learn_Good_Python,Python_material,1
Gregory,16,M,UK,Scotland,Glasgow,Doctor,Lower Middle,1,45,1,95,4,5,1,7,30,15,25,Basic_Python,Python_material,1
Cathy,9,F,USA,Texas,Dallas,Teacher,Lower Middle,1,48,4,91,6,7,1,7,40,15,25,Basic_Python,Python_material,1
Natalie,16,M,Canada,Ontario,Ottawa,Teacher,Low,3,81,8,125,6,5,3,5,30,12,15,Learn_Good_Python,Python_material,1
Marc,15,M,India,Delhi,New Delhi,Farmer,Lower Middle,1,41,5,100,7,6,1,5,30,15,25,Basic_Python,Python_material,1
Samantha,10,M,USA,Texas,Dallas,Teacher,Upper Middle,1,32,2,87,3,4,1,7,30,15,25,Basic_Python,Python_material,1
Amanda,13,F,USA,California,San Francisco,Engineer,Upper Middle,3,100,2,140,8,7,3,3,40,10,15,Learn_Good_Python,Python_material,1
Jeremy,16,F,Canada,Ontario,Ottawa,Teacher,High,1,50,3,106,6,6,1,7,30,15,25,Basic_Python,Python_material,1
Donald,13,F,Canada,Quebec,Montreal,Clerk,Low,3,85,2,127,6,5,3,3,30,10,15,Learn_Good_Python,Python_material,1
Donald,12,M,UK,England,London,IT Professional,Lower Middle,1,37,2,90,6,5,1,7,30,15,25,Basic_Python,Python_material,1
Stephanie,14,M,UK,Scotland,Glasgow,Engineer,Upper Middle,1,50,5,96,7,6,1,5,30,15,25,Basic_Python,Python_material,1
Paige,8,M,India,Tamil Nadu,Chennai,Clerk,Lower Middle,1,49,2,106,6,6,1,7,30,15,25,Basic_Python,Python_material,1
Kevin,8,F,Canada,Ontario,Ottawa,Laborer,Low,1,46,5,97,4,5,1,7,30,15,25,Basic_Python,Python_material,1
Raymond,11,M,UK,England,Manchester,Businessperson,Lower Middle,3,86,6,125,6,6,3,5,30,10,15,Learn_Good_Python,Python_material,1
Ryan,17,M,USA,Texas,Dallas,Engineer,Lower Middle,3,98,2,128,6,7,3,3,40,10,15,Learn_Good_Python,Python_material,1
Juan,15,M,India,Delhi,New Delhi,Doctor,Upper Middle,3,91,8,125,7,6,3,5,30,10,15,Learn_Good_Python,Python_material,1
Natalie,14,M,UK,Scotland,Glasgow,IT Professional,Lower Middle,2,59,4,107,5,5,2,7,30,15,20,Intermediate_Python,Python_material,1
Maureen,9,F,India,Delhi,New Delhi,IT Professional,High,3,93,2,123,6,6,3,5,30,10,15,Learn_Good_Python,Python_material,1
Lisa,17,M,Canada,Quebec,Montreal,Businessperson,Lower Middle,3,90,7,125,8,7,3,5,40,10,15,Learn_Good_Python,Python_material,1
Brandi,13,F,Canada,Quebec,Montreal,Teacher,High,2,58,2,99,5,5,2,7,30,15,20,Intermediate_Python,Python_material,1
Alyssa,15,F,India,Delhi,New Delhi,Doctor,Upper Middle,3,81,2,114,7,6,3,5,30,12,15,Learn_Good_Python,Python_material,1
Dennis,10,F,UK,England,London,Clerk,Low,2,53,4,95,7,8,2,5,40,15,20,Intermediate_Python,Python_material,1
Chad,11,F,Canada,Quebec,Quebec City,Farmer,Lower Middle,2,53,2,95,6,7,2,7,40,15,20,Intermediate_Python,Python_material,1
Carly,16,F,Canada,Ontario,Ottawa,Clerk,Upper Middle,2,73,4,116,8,9,2,5,50,12,20,Intermediate_Python,Python_material,1
Maxwell,10,F,UK,Scotland,Glasgow,Engineer,Low,1,45,1,95,7,6,1,5,30,15,25,Basic_Python,Python_material,1
Nicole,16,M,UK,England,London,Businessperson,Upper Middle,2,69,7,111,8,8,2,5,40,12,20,Intermediate_Python,Python_material,1
Deanna,13,M,UK,Scotland,Glasgow,IT Professional,Upper Middle,2,51,6,92,7,8,2,5,40,15,20,Intermediate_Python,Python_material,1
Angel,18,F,Canada,Quebec,Quebec City,Engineer,Upper Middle,1,31,4,89,4,4,1,7,30,15,25,Basic_Python,Python_material,1
